episode,reward,episode_length,running_reward,switch_rate,max_cart_velocity,max_pole_angle,max_angular_velocity,mean_pole_angle,mean_angular_velocity
139,77.0,77,41.634473055083774,0.5789473684210527,1.828892,0.20797321,1.1670504,0.10009741,0.40305582
140,84.0,84,42.05812832453294,0.6385542168674698,0.8970326,0.20746444,0.795385,0.0713405,0.28387457
141,41.0,41,42.0475470412876,0.45,0.82135606,0.19167018,1.3226284,0.04762947,0.47035658
142,77.0,77,42.39707157087473,0.4605263157894737,1.1699898,0.2081278,1.238603,0.0935128,0.40322655
143,29.0,29,42.26310085516598,0.4642857142857143,0.75249076,0.20934393,1.1297472,0.070490815,0.5119995
144,60.0,60,42.44046984661432,0.5084745762711864,0.40326136,0.19701317,0.9877811,0.040852856,0.34395388
145,115.0,115,43.16606514814818,0.43859649122807015,0.9280296,0.20270127,1.240208,0.048132997,0.4263086
146,40.0,40,43.1344044966667,0.6153846153846154,0.6173054,0.20707928,0.9680892,0.08203326,0.39496613
147,21.0,21,42.913060451700034,0.55,0.8315147,0.1830972,1.520522,0.066071905,0.5159255
148,66.0,66,43.14392984718303,0.49230769230769234,0.9220263,0.20684202,1.2100109,0.051535044,0.3751741
149,79.0,79,43.5024905487112,0.44871794871794873,1.4852436,0.19488016,1.1370925,0.06913799,0.45480052
150,62.0,62,43.68746564322409,0.5245901639344263,0.8022296,0.19781789,0.9523007,0.076292254,0.33416018
151,59.0,59,43.84059098679185,0.5862068965517241,0.7461816,0.19954522,0.902596,0.07966013,0.33522877
152,85.0,85,44.252185076923936,0.6071428571428571,0.98153776,0.20042661,1.2768013,0.043623533,0.32935506
153,134.0,134,45.1496632261547,0.5714285714285714,2.0512888,0.17906186,0.80441165,0.08324562,0.29235482
154,69.0,69,45.38816659389315,0.5588235294117647,1.938973,0.18959583,1.6273619,0.08638005,0.39592203
155,47.0,47,45.40428492795422,0.6304347826086957,0.782449,0.20719892,0.95019686,0.0903305,0.3378232
156,77.0,77,45.72024207867468,0.5131578947368421,2.2001185,0.2057526,1.3083963,0.11274116,0.430767
157,71.0,71,45.97303965788793,0.6142857142857143,0.9198536,0.20519328,0.9700707,0.062319916,0.31598532
158,94.0,94,46.45330926130905,0.5376344086021505,2.2310998,0.20074944,1.2162504,0.09343709,0.37931532
159,85.0,85,46.838776168695965,0.5476190476190477,0.7547621,0.20502493,1.0131725,0.052133486,0.31181672
160,87.0,87,47.240388407009,0.5116279069767442,1.5169837,0.19900602,1.1537102,0.07108681,0.33109522
161,33.0,33,47.09798452293891,0.5625,0.58031726,0.20811796,0.8646616,0.09107259,0.3725377
162,54.0,54,47.16700467770952,0.6037735849056604,1.3570011,0.20071289,1.2159386,0.08021509,0.44004518
163,113.0,113,47.825334630932424,0.5267857142857143,1.174976,0.19775371,1.7124416,0.045981172,0.4268542
164,16.0,16,47.5070812846231,0.5333333333333333,0.835815,0.20583753,1.3160942,0.09499939,0.5993811
165,104.0,104,48.07201047177686,0.5922330097087378,1.363862,0.20649593,0.98084027,0.056473188,0.30263776
166,44.0,44,48.03129036705909,0.5348837209302325,0.69796026,0.20844886,0.91190904,0.103922345,0.29723907
167,39.0,39,47.9409774633885,0.7105263157894737,0.95110893,0.20855524,0.87166053,0.13053441,0.29673418
168,114.0,114,48.60156768875461,0.49557522123893805,2.0878904,0.20372212,1.4834177,0.06795671,0.39597505
169,99.0,99,49.10555201186707,0.5714285714285714,0.95908165,0.20470051,1.1867131,0.06082879,0.34660757
170,107.0,107,49.6844964917484,0.5566037735849056,2.1987638,0.19486089,0.9732459,0.09340321,0.32706383
171,60.0,60,49.78765152683091,0.4406779661016949,0.9170353,0.20743167,1.256224,0.08989156,0.40841848
172,222.0,222,51.5097750115626,0.5882352941176471,1.7331482,0.20273475,1.316413,0.041630764,0.30191508
173,97.0,97,51.96467726144697,0.5625,1.7003397,0.20655656,1.0493239,0.10252897,0.33275172
174,99.0,99,52.4350304888325,0.5612244897959183,3.0892253,0.18509565,0.83859277,0.13833378,0.2580065
175,60.0,60,52.51068018394418,0.6610169491525424,0.5406587,0.20854898,0.9796521,0.06878533,0.27506897
176,36.0,36,52.34557338210474,0.5428571428571428,0.5657113,0.20885974,0.879574,0.10520354,0.34489834
177,41.0,41,52.23211764828369,0.525,0.60029453,0.20394233,0.90199167,0.09022616,0.35021347
178,82.0,82,52.52979647180085,0.5925925925925926,2.1631706,0.20828559,0.9867086,0.13287218,0.26143676
179,101.0,101,53.01449850708284,0.54,1.1004698,0.20926881,1.1772798,0.08043308,0.3557242
180,58.0,58,53.06435352201201,0.543859649122807,1.3640455,0.19672132,1.0623628,0.08832493,0.44074064
181,71.0,71,53.24370998679189,0.6142857142857143,0.9558518,0.19455291,1.2320833,0.090507746,0.28695756
182,100.0,100,53.71127288692397,0.46464646464646464,1.0067677,0.19746946,1.2562304,0.08323102,0.34219766
183,39.0,39,53.56416015805473,0.5789473684210527,0.88591903,0.20814906,0.8794231,0.11994984,0.2857847
184,56.0,56,53.588518556474185,0.4909090909090909,1.0920318,0.19341388,1.0585444,0.10870048,0.3147936
185,140.0,140,54.45263337090944,0.6187050359712231,0.9337717,0.2018822,0.95595175,0.05473274,0.31491208
186,91.0,91,54.81810703720034,0.5777777777777777,2.0127559,0.19970603,1.2529329,0.0950294,0.4432243
187,120.0,120,55.46992596682834,0.5546218487394958,1.3064649,0.20911442,0.9648456,0.09055373,0.33229142
188,181.0,181,56.72522670716006,0.6111111111111112,1.4639045,0.15282294,0.7873604,0.056229346,0.24291065
189,103.0,103,57.18797444008846,0.5588235294117647,1.870686,0.1995437,1.1541883,0.07571378,0.3504234
190,190.0,190,58.51609469568757,0.6137566137566137,1.479534,0.20647128,1.0243465,0.060763925,0.29496914
191,66.0,66,58.59093374873069,0.5538461538461539,1.6720814,0.20419648,1.4108878,0.100981906,0.46725863
192,62.0,62,58.62502441124338,0.5737704918032787,2.6799877,0.20086694,1.8329456,0.12507142,0.5518948
193,75.0,75,58.788774167130946,0.6081081081081081,1.5329355,0.19300953,1.4193579,0.05970139,0.4404756
194,36.0,36,58.560886425459636,0.5428571428571428,0.5269046,0.20819388,0.9573741,0.097389765,0.3438263
195,86.0,86,58.83527756120504,0.6470588235294118,0.7379876,0.20862144,0.917052,0.048469853,0.3278883
196,80.0,80,59.046924785592985,0.5316455696202531,0.902404,0.20548233,1.0247154,0.0629548,0.3593291
197,62.0,62,59.076455537737054,0.5901639344262295,0.969916,0.19593832,1.475601,0.08043413,0.37608147
198,155.0,155,60.03569098235968,0.6428571428571429,1.503326,0.20172061,0.8813789,0.060674377,0.31050187
199,74.0,74,60.17533407253609,0.589041095890411,0.9464745,0.18820773,1.2359117,0.07164939,0.29427177
200,166.0,166,61.23358073181073,0.5818181818181818,0.9354367,0.20470998,1.0311601,0.044325557,0.32391575
201,62.0,62,61.24124492449262,0.5737704918032787,0.91968197,0.20794608,1.0260175,0.07917958,0.38002178
202,121.0,121,61.83883247524769,0.6083333333333333,1.705579,0.1953186,1.5456675,0.055056892,0.3300144
203,66.0,66,61.88044415049521,0.6153846153846154,1.3023484,0.19987684,1.0736076,0.07442841,0.40282652
204,97.0,97,62.23163970899025,0.5729166666666666,1.4602791,0.19817626,1.0947869,0.07237812,0.34618565
205,112.0,112,62.729323311900345,0.5945945945945946,1.7098149,0.20599653,1.2849264,0.066682376,0.34860444
206,94.0,94,63.04203007878134,0.5161290322580645,0.9498559,0.20744376,1.1271812,0.04995636,0.3501255
207,66.0,66,63.07160977799352,0.5538461538461539,0.77498305,0.20804724,0.8569785,0.070501514,0.32555708
208,77.0,77,63.21089368021359,0.6052631578947368,2.0999782,0.20515765,1.2329139,0.105204694,0.42373487
209,164.0,164,64.21878474341145,0.656441717791411,0.94377494,0.20465639,0.8750289,0.039898075,0.24866462
210,66.0,66,64.23659689597733,0.5384615384615384,1.8410475,0.20209338,1.2202885,0.103418685,0.5083621
211,137.0,137,64.96423092701755,0.6029411764705882,1.5024308,0.1981899,0.9633518,0.072248176,0.29805836
212,134.0,134,65.65458861774738,0.5413533834586466,1.1070584,0.20451474,1.1285851,0.063551344,0.32992968
213,112.0,112,66.11804273156991,0.6126126126126126,1.3619136,0.20719084,1.1812501,0.048295498,0.32832223
214,56.0,56,66.01686230425422,0.6181818181818182,0.9911167,0.19626722,1.2314748,0.065763034,0.34380904
215,157.0,157,66.92669368121167,0.5769230769230769,2.2762601,0.20421378,1.1067501,0.0968562,0.3151534
216,78.0,78,67.03742674439955,0.5194805194805194,1.0918522,0.20068331,0.93453205,0.060680363,0.3236955
217,128.0,128,67.64705247695557,0.5826771653543307,2.0099244,0.19391677,1.2265364,0.086774595,0.34869307
218,63.0,63,67.600581952186,0.6612903225806451,1.1846644,0.20844251,1.2024993,0.05807443,0.40325758
219,109.0,109,68.01457613266415,0.5370370370370371,2.223875,0.1965899,1.4543135,0.074572355,0.34459236
220,57.0,57,67.9044303713375,0.5178571428571429,1.5494673,0.1999272,1.3953718,0.08434529,0.48486263
221,98.0,98,68.20538606762412,0.6391752577319587,0.7902791,0.20343736,0.94429964,0.05596756,0.26035833
222,197.0,197,69.49333220694787,0.5459183673469388,2.420891,0.19409908,1.2428945,0.07726369,0.34227788
223,57.0,57,69.36839888487839,0.6964285714285714,0.5417047,0.20143402,0.7464767,0.065743,0.2586059
224,71.0,71,69.38471489602959,0.6142857142857143,1.1358677,0.20327011,1.1544579,0.05951549,0.38469929
225,106.0,106,69.7508677470693,0.5142857142857142,1.1805972,0.2088682,1.2097657,0.047398813,0.33227155
226,73.0,73,69.7833590695986,0.625,0.78652227,0.2027925,1.0843521,0.06700123,0.3701252
227,78.0,78,69.86552547890261,0.4025974025974026,2.27422,0.20637645,1.6737314,0.09489865,0.46654066
228,64.0,64,69.80687022411358,0.5873015873015873,1.524381,0.19829531,1.3568044,0.07199837,0.39284465
229,49.0,49,69.59880152187245,0.4791666666666667,2.06296,0.19844717,1.6625397,0.11888987,0.5800962
230,168.0,168,70.58281350665372,0.5089820359281437,2.2098684,0.18491484,1.3698336,0.06000471,0.38656545
231,107.0,107,70.94698537158717,0.5754716981132075,2.4600992,0.20642622,1.5112785,0.0970683,0.4264733
232,32.0,32,70.5575155178713,0.5483870967741935,0.8412352,0.2031032,1.4245903,0.05914788,0.44204575
233,81.0,81,70.66194036269259,0.425,1.110179,0.20460005,1.1850786,0.06552772,0.3528986
234,49.0,49,70.44532095906565,0.5625,1.1605706,0.19549255,1.486508,0.05816652,0.4176877
235,112.0,112,70.860867749475,0.5765765765765766,1.1753393,0.20778872,0.9471058,0.074952826,0.35425642
236,66.0,66,70.81225907198025,0.5846153846153846,1.1272669,0.18506458,1.2441816,0.06362321,0.39556232
237,138.0,138,71.48413648126045,0.6131386861313869,0.981786,0.20069475,0.8951935,0.07517641,0.28062567
238,66.0,66,71.42929511644785,0.5384615384615384,1.146227,0.19911963,1.2439015,0.05012555,0.44249538
239,63.0,63,71.34500216528336,0.5483870967741935,1.187912,0.2085337,1.559894,0.046512164,0.38218075
240,63.0,63,71.26155214363052,0.46774193548387094,2.2370636,0.18982376,1.9206601,0.094815806,0.519065
241,75.0,75,71.29893662219422,0.5945945945945946,1.7289429,0.18876275,1.3284018,0.07835946,0.42744613
242,104.0,104,71.62594725597228,0.5825242718446602,0.90048563,0.20439626,0.9264434,0.059048202,0.30438983
243,68.0,68,71.58968778341256,0.582089552238806,1.6515934,0.19748889,1.4061987,0.082097486,0.40591732
244,254.0,254,73.41379090557844,0.5770750988142292,0.98163074,0.20764875,0.99197054,0.055140622,0.30148342
245,80.0,80,73.47965299652265,0.5822784810126582,1.6693708,0.1983657,1.2178273,0.08844386,0.3445664
246,149.0,149,74.23485646655742,0.5608108108108109,2.2830534,0.19745177,1.7432041,0.06451374,0.38343456
247,53.0,53,74.02250790189184,0.5961538461538461,0.53582424,0.20590787,0.9335964,0.06846828,0.31657186
248,89.0,89,74.17228282287293,0.6477272727272727,1.2877975,0.19765334,1.0827845,0.060721487,0.3549711
249,243.0,243,75.8605599946442,0.5578512396694215,1.305425,0.20784916,1.0764116,0.046919983,0.3241313
250,80.0,80,75.90195439469775,0.620253164556962,1.1066649,0.20696238,1.0889994,0.048790872,0.35605383
251,120.0,120,76.34293485075078,0.6302521008403361,1.3116466,0.2031226,0.9495878,0.06123708,0.28176913
252,121.0,121,76.78950550224326,0.5666666666666667,0.98353827,0.20099705,1.3197024,0.03360965,0.3415651
253,97.0,97,76.99161044722082,0.5208333333333334,2.1271195,0.20777215,1.7712187,0.0800612,0.4569931
